index, matrix_size, precision, error, time, iterations, min_val, max_val
0, 5, 1.000000e-01, 2.055368e-10, 57333, 3, -1.000000e+09, 1.000000e+09, 
1, 5, 1.000000e-01, 6.005318e-08, 117778, 3, -1.000000e+09, 1.000000e+09, 
2, 5, 1.000000e-01, 3.709387e-11, 36889, 3, -1.000000e+09, 1.000000e+09, 
3, 5, 1.000000e-01, 7.315093e-10, 39112, 3, -1.000000e+09, 1.000000e+09, 
4, 5, 1.000000e-01, 1.308354e-09, 41778, 3, -1.000000e+09, 1.000000e+09, 
5, 5, 1.000000e-01, 1.357187e-10, 32889, 3, -1.000000e+09, 1.000000e+09, 
6, 5, 1.000000e-01, 7.229784e-10, 32889, 3, -1.000000e+09, 1.000000e+09, 
7, 5, 1.000000e-01, 1.300198e-09, 39556, 3, -1.000000e+09, 1.000000e+09, 
8, 5, 1.000000e-01, 1.144821e-09, 35111, 3, -1.000000e+09, 1.000000e+09, 
9, 5, 1.000000e-01, 5.487448e-08, 33778, 3, -1.000000e+09, 1.000000e+09, 
10, 5, 1.000000e-01, 5.754848e-10, 34222, 3, -1.000000e+09, 1.000000e+09, 
11, 5, 1.000000e-01, 6.651984e-09, 160889, 3, -1.000000e+09, 1.000000e+09, 
12, 5, 1.000000e-01, 1.712097e-09, 34666, 3, -1.000000e+09, 1.000000e+09, 
13, 5, 1.000000e-01, 4.963581e-09, 30667, 3, -1.000000e+09, 1.000000e+09, 
14, 5, 1.000000e-01, 3.475394e-09, 39111, 3, -1.000000e+09, 1.000000e+09, 
15, 5, 1.000000e-01, 6.315802e-10, 28000, 3, -1.000000e+09, 1.000000e+09, 
16, 5, 1.000000e-01, 8.871629e-08, 26667, 3, -1.000000e+09, 1.000000e+09, 
17, 5, 1.000000e-01, 7.855252e-09, 23556, 3, -1.000000e+09, 1.000000e+09, 
18, 5, 1.000000e-01, 1.344265e-08, 23111, 3, -1.000000e+09, 1.000000e+09, 
19, 5, 1.000000e-01, 2.282538e-09, 24889, 3, -1.000000e+09, 1.000000e+09, 
20, 5, 1.000000e-01, 1.964892e-09, 25778, 3, -1.000000e+09, 1.000000e+09, 
21, 5, 1.000000e-01, 5.139009e-10, 23555, 3, -1.000000e+09, 1.000000e+09, 
22, 5, 1.000000e-01, 2.190384e-09, 25333, 3, -1.000000e+09, 1.000000e+09, 
23, 5, 1.000000e-01, 1.862616e-09, 22666, 3, -1.000000e+09, 1.000000e+09, 
24, 5, 1.000000e-01, 2.057608e-09, 24889, 3, -1.000000e+09, 1.000000e+09, 
25, 5, 1.000000e-01, 2.668608e-09, 25778, 3, -1.000000e+09, 1.000000e+09, 
26, 5, 1.000000e-01, 6.400245e-10, 25333, 3, -1.000000e+09, 1.000000e+09, 
