index, matrix_size, precision, error, time, iterations, min_val, max_val
0, 5, 1.000000e-15, 9.431520e-19, 78667, 1, -1.000000e+09, 1.000000e+09, 
1, 5, 1.000000e-15, 9.036875e-17, 31111, 1, -1.000000e+09, 1.000000e+09, 
2, 5, 1.000000e-15, 4.801040e-18, 29334, 1, -1.000000e+09, 1.000000e+09, 
3, 5, 1.000000e-15, 2.397484e-18, 28000, 1, -1.000000e+09, 1.000000e+09, 
4, 5, 1.000000e-15, 2.146618e-18, 16889, 1, -1.000000e+09, 1.000000e+09, 
5, 5, 1.000000e-15, 2.105282e-17, 37777, 1, -1.000000e+09, 1.000000e+09, 
6, 5, 1.000000e-15, 2.038104e-18, 37778, 1, -1.000000e+09, 1.000000e+09, 
7, 5, 1.000000e-15, 4.031673e-18, 31556, 1, -1.000000e+09, 1.000000e+09, 
8, 5, 1.000000e-15, 1.365345e-17, 31556, 1, -1.000000e+09, 1.000000e+09, 
9, 5, 1.000000e-15, 7.381990e-17, 30666, 1, -1.000000e+09, 1.000000e+09, 
10, 5, 1.000000e-15, 1.177124e-18, 39111, 1, -1.000000e+09, 1.000000e+09, 
11, 5, 1.000000e-15, 1.712708e-18, 28000, 1, -1.000000e+09, 1.000000e+09, 
12, 5, 1.000000e-15, 1.087699e-18, 26222, 1, -1.000000e+09, 1.000000e+09, 
13, 5, 1.000000e-15, 2.508692e-18, 28000, 1, -1.000000e+09, 1.000000e+09, 
14, 5, 1.000000e-15, 3.588184e-18, 36000, 1, -1.000000e+09, 1.000000e+09, 
15, 5, 1.000000e-15, 9.716099e-18, 26667, 1, -1.000000e+09, 1.000000e+09, 
16, 5, 1.000000e-15, 1.724693e-17, 29778, 1, -1.000000e+09, 1.000000e+09, 
17, 5, 1.000000e-15, 2.777446e-18, 28889, 1, -1.000000e+09, 1.000000e+09, 
18, 5, 1.000000e-15, 5.155636e-18, 15555, 1, -1.000000e+09, 1.000000e+09, 
19, 5, 1.000000e-15, 8.115688e-19, 24889, 1, -1.000000e+09, 1.000000e+09, 
0, 10, 1.000000e-15, 1.999160e-18, 36889, 1, -1.000000e+09, 1.000000e+09, 
1, 10, 1.000000e-15, 3.142285e-19, 21778, 1, -1.000000e+09, 1.000000e+09, 
2, 10, 1.000000e-15, 1.549600e-17, 21333, 1, -1.000000e+09, 1.000000e+09, 
3, 10, 1.000000e-15, 6.119744e-18, 20444, 1, -1.000000e+09, 1.000000e+09, 
4, 10, 1.000000e-15, 1.868189e-18, 42222, 1, -1.000000e+09, 1.000000e+09, 
5, 10, 1.000000e-15, 1.593520e-18, 43111, 1, -1.000000e+09, 1.000000e+09, 
6, 10, 1.000000e-15, 4.948521e-18, 44445, 1, -1.000000e+09, 1.000000e+09, 
7, 10, 1.000000e-15, 3.949954e-18, 23111, 1, -1.000000e+09, 1.000000e+09, 
8, 10, 1.000000e-15, 1.519619e-18, 48445, 1, -1.000000e+09, 1.000000e+09, 
9, 10, 1.000000e-15, 2.416126e-18, 41777, 1, -1.000000e+09, 1.000000e+09, 
10, 10, 1.000000e-15, 2.338599e-18, 22222, 1, -1.000000e+09, 1.000000e+09, 
11, 10, 1.000000e-15, 2.104027e-18, 51556, 1, -1.000000e+09, 1.000000e+09, 
12, 10, 1.000000e-15, 2.528800e-18, 49778, 1, -1.000000e+09, 1.000000e+09, 
13, 10, 1.000000e-15, 5.883654e-19, 31555, 1, -1.000000e+09, 1.000000e+09, 
14, 10, 1.000000e-15, 4.512042e-18, 58667, 1, -1.000000e+09, 1.000000e+09, 
15, 10, 1.000000e-15, 2.033452e-17, 58223, 1, -1.000000e+09, 1.000000e+09, 
16, 10, 1.000000e-15, 2.217268e-18, 118222, 1, -1.000000e+09, 1.000000e+09, 
17, 10, 1.000000e-15, 2.529516e-18, 137778, 1, -1.000000e+09, 1.000000e+09, 
18, 10, 1.000000e-15, 2.577661e-17, 38667, 1, -1.000000e+09, 1.000000e+09, 
19, 10, 1.000000e-15, 6.562276e-18, 129778, 1, -1.000000e+09, 1.000000e+09, 
0, 25, 1.000000e-15, 4.293045e-17, 226667, 1, -1.000000e+09, 1.000000e+09, 
1, 25, 1.000000e-15, 2.078146e-18, 109778, 1, -1.000000e+09, 1.000000e+09, 
2, 25, 1.000000e-15, 1.224952e-17, 125777, 1, -1.000000e+09, 1.000000e+09, 
3, 25, 1.000000e-15, 1.403097e-16, 107111, 1, -1.000000e+09, 1.000000e+09, 
4, 25, 1.000000e-15, 3.761143e-18, 144000, 1, -1.000000e+09, 1.000000e+09, 
5, 25, 1.000000e-15, 4.061418e-18, 119111, 1, -1.000000e+09, 1.000000e+09, 
6, 25, 1.000000e-15, 6.214031e-18, 148000, 1, -1.000000e+09, 1.000000e+09, 
7, 25, 1.000000e-15, 9.332670e-18, 125777, 1, -1.000000e+09, 1.000000e+09, 
8, 25, 1.000000e-15, 1.422009e-18, 116000, 1, -1.000000e+09, 1.000000e+09, 
9, 25, 1.000000e-15, 6.832698e-17, 116000, 1, -1.000000e+09, 1.000000e+09, 
10, 25, 1.000000e-15, 9.424792e-19, 131111, 1, -1.000000e+09, 1.000000e+09, 
11, 25, 1.000000e-15, 1.055136e-17, 165778, 1, -1.000000e+09, 1.000000e+09, 
12, 25, 1.000000e-15, 2.249514e-17, 119111, 1, -1.000000e+09, 1.000000e+09, 
13, 25, 1.000000e-15, 1.785185e-18, 139555, 1, -1.000000e+09, 1.000000e+09, 
14, 25, 1.000000e-15, 9.937963e-18, 171556, 1, -1.000000e+09, 1.000000e+09, 
15, 25, 1.000000e-15, 1.284581e-18, 100000, 1, -1.000000e+09, 1.000000e+09, 
16, 25, 1.000000e-15, 5.933636e-19, 106667, 1, -1.000000e+09, 1.000000e+09, 
17, 25, 1.000000e-15, 5.930881e-18, 110222, 1, -1.000000e+09, 1.000000e+09, 
18, 25, 1.000000e-15, 7.367728e-18, 132445, 1, -1.000000e+09, 1.000000e+09, 
19, 25, 1.000000e-15, 1.097824e-18, 114223, 1, -1.000000e+09, 1.000000e+09, 
0, 50, 1.000000e-15, 1.270553e-17, 720000, 1, -1.000000e+09, 1.000000e+09, 
1, 50, 1.000000e-15, 2.622486e-18, 800445, 1, -1.000000e+09, 1.000000e+09, 
2, 50, 1.000000e-15, 2.042546e-18, 661334, 1, -1.000000e+09, 1.000000e+09, 
3, 50, 1.000000e-15, 1.810973e-17, 449334, 1, -1.000000e+09, 1.000000e+09, 
4, 50, 1.000000e-15, 2.141243e-17, 506223, 1, -1.000000e+09, 1.000000e+09, 
5, 50, 1.000000e-15, 2.446460e-18, 572445, 1, -1.000000e+09, 1.000000e+09, 
6, 50, 1.000000e-15, 4.150085e-19, 1421779, 1, -1.000000e+09, 1.000000e+09, 
7, 50, 1.000000e-15, 1.263963e-18, 423111, 1, -1.000000e+09, 1.000000e+09, 
8, 50, 1.000000e-15, 6.661968e-18, 405778, 1, -1.000000e+09, 1.000000e+09, 
9, 50, 1.000000e-15, 8.185853e-19, 426667, 1, -1.000000e+09, 1.000000e+09, 
10, 50, 1.000000e-15, 8.229485e-18, 406222, 1, -1.000000e+09, 1.000000e+09, 
11, 50, 1.000000e-15, 1.191030e-18, 389334, 1, -1.000000e+09, 1.000000e+09, 
12, 50, 1.000000e-15, 4.204449e-18, 427556, 1, -1.000000e+09, 1.000000e+09, 
13, 50, 1.000000e-15, 1.347106e-17, 632890, 1, -1.000000e+09, 1.000000e+09, 
14, 50, 1.000000e-15, 1.574877e-18, 466667, 1, -1.000000e+09, 1.000000e+09, 
15, 50, 1.000000e-15, 1.130947e-17, 410667, 1, -1.000000e+09, 1.000000e+09, 
16, 50, 1.000000e-15, 2.356005e-18, 380445, 1, -1.000000e+09, 1.000000e+09, 
17, 50, 1.000000e-15, 1.888554e-17, 382222, 1, -1.000000e+09, 1.000000e+09, 
18, 50, 1.000000e-15, 3.840977e-19, 502667, 1, -1.000000e+09, 1.000000e+09, 
19, 50, 1.000000e-15, 6.639025e-18, 686667, 1, -1.000000e+09, 1.000000e+09, 
0, 75, 1.000000e-15, 2.592085e-17, 584889, 1, -1.000000e+09, 1.000000e+09, 
1, 75, 1.000000e-15, 4.969994e-18, 781334, 1, -1.000000e+09, 1.000000e+09, 
2, 75, 1.000000e-15, 7.058126e-19, 889334, 1, -1.000000e+09, 1.000000e+09, 
3, 75, 1.000000e-15, 1.881134e-18, 744445, 1, -1.000000e+09, 1.000000e+09, 
4, 75, 1.000000e-15, 1.797076e-40, 1528001, 2, -1.000000e+09, 1.000000e+09, 
5, 75, 1.000000e-15, 4.995183e-18, 776890, 1, -1.000000e+09, 1.000000e+09, 
6, 75, 1.000000e-15, 1.814614e-17, 940890, 1, -1.000000e+09, 1.000000e+09, 
7, 75, 1.000000e-15, 7.665659e-19, 509334, 1, -1.000000e+09, 1.000000e+09, 
8, 75, 1.000000e-15, 3.773222e-18, 868890, 1, -1.000000e+09, 1.000000e+09, 
9, 75, 1.000000e-15, 8.055999e-19, 503111, 1, -1.000000e+09, 1.000000e+09, 
10, 75, 1.000000e-15, 9.504120e-18, 487112, 1, -1.000000e+09, 1.000000e+09, 
11, 75, 1.000000e-15, 6.805744e-19, 503111, 1, -1.000000e+09, 1.000000e+09, 
12, 75, 1.000000e-15, 3.299202e-16, 810223, 1, -1.000000e+09, 1.000000e+09, 
13, 75, 1.000000e-15, 1.096492e-17, 558668, 1, -1.000000e+09, 1.000000e+09, 
14, 75, 1.000000e-15, 1.496038e-18, 945334, 1, -1.000000e+09, 1.000000e+09, 
15, 75, 1.000000e-15, 8.819106e-19, 1052445, 1, -1.000000e+09, 1.000000e+09, 
16, 75, 1.000000e-15, 4.635344e-17, 571556, 1, -1.000000e+09, 1.000000e+09, 
17, 75, 1.000000e-15, 2.149368e-18, 503112, 1, -1.000000e+09, 1.000000e+09, 
18, 75, 1.000000e-15, 1.238918e-18, 933334, 1, -1.000000e+09, 1.000000e+09, 
19, 75, 1.000000e-15, 1.046712e-18, 487111, 1, -1.000000e+09, 1.000000e+09, 
0, 100, 1.000000e-15, 1.014380e-18, 856001, 1, -1.000000e+09, 1.000000e+09, 
1, 100, 1.000000e-15, 1.348533e-18, 1815557, 1, -1.000000e+09, 1.000000e+09, 
2, 100, 1.000000e-15, 2.026138e-18, 1493335, 1, -1.000000e+09, 1.000000e+09, 
3, 100, 1.000000e-15, 2.996998e-18, 1258223, 1, -1.000000e+09, 1.000000e+09, 
4, 100, 1.000000e-15, 1.440654e-18, 689334, 1, -1.000000e+09, 1.000000e+09, 
5, 100, 1.000000e-15, 1.360746e-17, 926667, 1, -1.000000e+09, 1.000000e+09, 
6, 100, 1.000000e-15, 4.588204e-18, 1357334, 1, -1.000000e+09, 1.000000e+09, 
7, 100, 1.000000e-15, 1.064233e-17, 1095112, 1, -1.000000e+09, 1.000000e+09, 
8, 100, 1.000000e-15, 2.169884e-18, 729778, 1, -1.000000e+09, 1.000000e+09, 
9, 100, 1.000000e-15, 2.515197e-18, 1267556, 1, -1.000000e+09, 1.000000e+09, 
10, 100, 1.000000e-15, 5.263191e-18, 1126223, 1, -1.000000e+09, 1.000000e+09, 
11, 100, 1.000000e-15, 1.064548e-17, 1435557, 1, -1.000000e+09, 1.000000e+09, 
12, 100, 1.000000e-15, 2.096890e-17, 2104891, 1, -1.000000e+09, 1.000000e+09, 
13, 100, 1.000000e-15, 2.706711e-18, 755556, 1, -1.000000e+09, 1.000000e+09, 
14, 100, 1.000000e-15, 6.075047e-18, 1129778, 1, -1.000000e+09, 1.000000e+09, 
15, 100, 1.000000e-15, 7.682004e-19, 718667, 1, -1.000000e+09, 1.000000e+09, 
16, 100, 1.000000e-15, 5.019998e-17, 767557, 1, -1.000000e+09, 1.000000e+09, 
17, 100, 1.000000e-15, 1.454949e-17, 1115557, 1, -1.000000e+09, 1.000000e+09, 
18, 100, 1.000000e-15, 8.856520e-19, 1240445, 1, -1.000000e+09, 1.000000e+09, 
19, 100, 1.000000e-15, 1.286079e-16, 662223, 1, -1.000000e+09, 1.000000e+09, 
0, 250, 1.000000e-15, 1.311656e-18, 6997784, 1, -1.000000e+09, 1.000000e+09, 
1, 250, 1.000000e-15, 3.584252e-18, 5888005, 1, -1.000000e+09, 1.000000e+09, 
2, 250, 1.000000e-15, 2.425618e-18, 6010228, 1, -1.000000e+09, 1.000000e+09, 
3, 250, 1.000000e-15, 3.995974e-18, 4774226, 1, -1.000000e+09, 1.000000e+09, 
4, 250, 1.000000e-15, 2.096220e-16, 4779115, 1, -1.000000e+09, 1.000000e+09, 
5, 250, 1.000000e-15, 5.957360e-19, 6456006, 1, -1.000000e+09, 1.000000e+09, 
6, 250, 1.000000e-15, 4.638755e-16, 9000452, 1, -1.000000e+09, 1.000000e+09, 
7, 250, 1.000000e-15, 6.144324e-18, 8136896, 1, -1.000000e+09, 1.000000e+09, 
8, 250, 1.000000e-15, 8.705378e-19, 5432005, 1, -1.000000e+09, 1.000000e+09, 
9, 250, 1.000000e-15, 1.066479e-18, 5389338, 1, -1.000000e+09, 1.000000e+09, 
10, 250, 1.000000e-15, 1.309789e-18, 4849338, 1, -1.000000e+09, 1.000000e+09, 
11, 250, 1.000000e-15, 4.180972e-18, 4610671, 1, -1.000000e+09, 1.000000e+09, 
12, 250, 1.000000e-15, 3.681603e-16, 7847562, 1, -1.000000e+09, 1.000000e+09, 
13, 250, 1.000000e-15, 9.769765e-19, 4894671, 1, -1.000000e+09, 1.000000e+09, 
14, 250, 1.000000e-15, 6.205879e-18, 6262228, 1, -1.000000e+09, 1.000000e+09, 
15, 250, 1.000000e-15, 9.555326e-18, 6892895, 1, -1.000000e+09, 1.000000e+09, 
16, 250, 1.000000e-15, 3.471554e-18, 5044449, 1, -1.000000e+09, 1.000000e+09, 
17, 250, 1.000000e-15, 1.682507e-17, 4750227, 1, -1.000000e+09, 1.000000e+09, 
18, 250, 1.000000e-15, 2.548706e-18, 4978227, 1, -1.000000e+09, 1.000000e+09, 
19, 250, 1.000000e-15, 4.162428e-19, 5703116, 1, -1.000000e+09, 1.000000e+09, 
0, 500, 1.000000e-15, 4.368079e-18, 24545800, 1, -1.000000e+09, 1.000000e+09, 
1, 500, 1.000000e-15, 3.071751e-18, 25051578, 1, -1.000000e+09, 1.000000e+09, 
2, 500, 1.000000e-15, 5.276996e-18, 24160466, 1, -1.000000e+09, 1.000000e+09, 
3, 500, 1.000000e-15, 2.928644e-18, 24202688, 1, -1.000000e+09, 1.000000e+09, 
4, 500, 1.000000e-15, 1.239318e-16, 29110693, 1, -1.000000e+09, 1.000000e+09, 
5, 500, 1.000000e-15, 1.652798e-17, 26638246, 1, -1.000000e+09, 1.000000e+09, 
6, 500, 1.000000e-15, 6.681304e-18, 29003137, 1, -1.000000e+09, 1.000000e+09, 
7, 500, 1.000000e-15, 4.684729e-17, 29507137, 1, -1.000000e+09, 1.000000e+09, 
8, 500, 1.000000e-15, 1.581461e-18, 29965804, 1, -1.000000e+09, 1.000000e+09, 
9, 500, 1.000000e-15, 4.000773e-18, 25088023, 1, -1.000000e+09, 1.000000e+09, 
10, 500, 1.000000e-15, 4.720711e-18, 30643583, 1, -1.000000e+09, 1.000000e+09, 
11, 500, 1.000000e-15, 5.192553e-18, 26856912, 1, -1.000000e+09, 1.000000e+09, 
12, 500, 1.000000e-15, 2.414671e-18, 24064910, 1, -1.000000e+09, 1.000000e+09, 
13, 500, 1.000000e-15, 4.501595e-18, 23170687, 1, -1.000000e+09, 1.000000e+09, 
14, 500, 1.000000e-15, 3.331889e-16, 22456464, 1, -1.000000e+09, 1.000000e+09, 
15, 500, 1.000000e-15, 5.774840e-18, 23303132, 1, -1.000000e+09, 1.000000e+09, 
16, 500, 1.000000e-15, 4.555752e-18, 22491575, 1, -1.000000e+09, 1.000000e+09, 
17, 500, 1.000000e-15, 2.217350e-18, 22943131, 1, -1.000000e+09, 1.000000e+09, 
