index, matrix_size, precision, error, time, iterations, min_val, max_val
0, 5, 1.000000e-01, 1.211850e-18, 86223, 1, -1.000000e+09, 1.000000e+09, 
1, 5, 1.000000e-01, 1.026536e-18, 43556, 1, -1.000000e+09, 1.000000e+09, 
2, 5, 1.000000e-01, 6.892324e-19, 42222, 1, -1.000000e+09, 1.000000e+09, 
3, 5, 1.000000e-01, 2.131837e-20, 42222, 1, -1.000000e+09, 1.000000e+09, 
4, 5, 1.000000e-01, 1.155993e-18, 53333, 1, -1.000000e+09, 1.000000e+09, 
5, 5, 1.000000e-01, 7.758172e-19, 44444, 1, -1.000000e+09, 1.000000e+09, 
6, 5, 1.000000e-01, 2.377530e-19, 56000, 1, -1.000000e+09, 1.000000e+09, 
7, 5, 1.000000e-01, 1.201208e-18, 42667, 1, -1.000000e+09, 1.000000e+09, 
8, 5, 1.000000e-01, 1.571749e-18, 44889, 1, -1.000000e+09, 1.000000e+09, 
9, 5, 1.000000e-01, 1.995879e-18, 43556, 1, -1.000000e+09, 1.000000e+09, 
10, 5, 1.000000e-01, 4.197115e-19, 45333, 1, -1.000000e+09, 1.000000e+09, 
11, 5, 1.000000e-01, 2.197447e-19, 44444, 1, -1.000000e+09, 1.000000e+09, 
12, 5, 1.000000e-01, 2.398214e-19, 41778, 1, -1.000000e+09, 1.000000e+09, 
13, 5, 1.000000e-01, 7.369505e-19, 40000, 1, -1.000000e+09, 1.000000e+09, 
14, 5, 1.000000e-01, 1.856974e-18, 47555, 1, -1.000000e+09, 1.000000e+09, 
15, 5, 1.000000e-01, 1.708489e-19, 45778, 1, -1.000000e+09, 1.000000e+09, 
16, 5, 1.000000e-01, 2.571400e-18, 40889, 1, -1.000000e+09, 1.000000e+09, 
17, 5, 1.000000e-01, 1.694424e-19, 41333, 1, -1.000000e+09, 1.000000e+09, 
18, 5, 1.000000e-01, 9.404064e-19, 39111, 1, -1.000000e+09, 1.000000e+09, 
19, 5, 1.000000e-01, 1.166341e-18, 41778, 1, -1.000000e+09, 1.000000e+09, 
20, 5, 1.000000e-01, 7.859947e-19, 51556, 1, -1.000000e+09, 1.000000e+09, 
21, 5, 1.000000e-01, 1.459217e-18, 41333, 1, -1.000000e+09, 1.000000e+09, 
22, 5, 1.000000e-01, 1.222138e-18, 41333, 1, -1.000000e+09, 1.000000e+09, 
23, 5, 1.000000e-01, 1.012359e-18, 40888, 1, -1.000000e+09, 1.000000e+09, 
24, 5, 1.000000e-01, 9.906887e-19, 39111, 1, -1.000000e+09, 1.000000e+09, 
25, 5, 1.000000e-01, 1.371417e-18, 40888, 1, -1.000000e+09, 1.000000e+09, 
26, 5, 1.000000e-01, 2.711585e-19, 40445, 1, -1.000000e+09, 1.000000e+09, 
27, 5, 1.000000e-01, 7.796084e-19, 46223, 1, -1.000000e+09, 1.000000e+09, 
28, 5, 1.000000e-01, 1.119010e-18, 45778, 1, -1.000000e+09, 1.000000e+09, 
29, 5, 1.000000e-01, 2.075629e-18, 43111, 1, -1.000000e+09, 1.000000e+09, 
30, 5, 1.000000e-01, 4.116235e-19, 42222, 1, -1.000000e+09, 1.000000e+09, 
31, 5, 1.000000e-01, 4.089585e-18, 38667, 1, -1.000000e+09, 1.000000e+09, 
32, 5, 1.000000e-01, 4.269970e-19, 46667, 1, -1.000000e+09, 1.000000e+09, 
33, 5, 1.000000e-01, 2.496598e-18, 43556, 1, -1.000000e+09, 1.000000e+09, 
34, 5, 1.000000e-01, 2.975829e-19, 42667, 1, -1.000000e+09, 1.000000e+09, 
35, 5, 1.000000e-01, 2.750609e-19, 43556, 1, -1.000000e+09, 1.000000e+09, 
36, 5, 1.000000e-01, 1.986859e-18, 42667, 1, -1.000000e+09, 1.000000e+09, 
37, 5, 1.000000e-01, 1.436539e-18, 36889, 1, -1.000000e+09, 1.000000e+09, 
38, 5, 1.000000e-01, 6.765009e-20, 37778, 1, -1.000000e+09, 1.000000e+09, 
39, 5, 1.000000e-01, 8.427144e-19, 39111, 1, -1.000000e+09, 1.000000e+09, 
40, 5, 1.000000e-01, 1.261700e-18, 40444, 1, -1.000000e+09, 1.000000e+09, 
41, 5, 1.000000e-01, 1.049111e-18, 41777, 1, -1.000000e+09, 1.000000e+09, 
42, 5, 1.000000e-01, 7.013708e-19, 43556, 1, -1.000000e+09, 1.000000e+09, 
43, 5, 1.000000e-01, 1.555018e-18, 40000, 1, -1.000000e+09, 1.000000e+09, 
44, 5, 1.000000e-01, 9.892938e-19, 32000, 1, -1.000000e+09, 1.000000e+09, 
45, 5, 1.000000e-01, 7.093256e-19, 29777, 1, -1.000000e+09, 1.000000e+09, 
46, 5, 1.000000e-01, 4.491446e-19, 29778, 1, -1.000000e+09, 1.000000e+09, 
47, 5, 1.000000e-01, 4.331561e-19, 55111, 1, -1.000000e+09, 1.000000e+09, 
48, 5, 1.000000e-01, 1.357458e-18, 54222, 1, -1.000000e+09, 1.000000e+09, 
49, 5, 1.000000e-01, 1.633951e-18, 32888, 1, -1.000000e+09, 1.000000e+09, 
