index, matrix_size, precision, error, time, iterations, min_val, max_val
0, 5, 1.000000e-01, 4.637699e-02, 1064446, 29, -1.000000e+09, 1.000000e+09, 
1, 5, 1.000000e-01, 9.669251e-02, 675556, 216, -1.000000e+09, 1.000000e+09, 
2, 5, 1.000000e-01, 2.217174e-02, 32000, 7, -1.000000e+09, 1.000000e+09, 
3, 5, 1.000000e-01, 9.833169e-02, 512000, 173, -1.000000e+09, 1.000000e+09, 
4, 5, 1.000000e-01, 9.763160e-02, 592001, 199, -1.000000e+09, 1.000000e+09, 
5, 5, 1.000000e-01, 8.521513e-02, 103111, 36, -1.000000e+09, 1.000000e+09, 
6, 5, 1.000000e-01, 1.605187e-02, 48000, 11, -1.000000e+09, 1.000000e+09, 
7, 5, 1.000000e-01, 5.539672e-02, 78666, 34, -1.000000e+09, 1.000000e+09, 
8, 5, 1.000000e-01, 1.611693e-02, 38667, 14, -1.000000e+09, 1.000000e+09, 
9, 5, 1.000000e-01, 7.140121e-02, 156444, 71, -1.000000e+09, 1.000000e+09, 
10, 5, 1.000000e-01, 9.680920e-02, 226667, 106, -1.000000e+09, 1.000000e+09, 
11, 5, 1.000000e-01, 8.828914e-02, 280445, 132, -1.000000e+09, 1.000000e+09, 
12, 5, 1.000000e-01, 4.443217e-02, 29333, 10, -1.000000e+09, 1.000000e+09, 
13, 5, 1.000000e-01, 4.489725e-02, 676001, 29, -1.000000e+09, 1.000000e+09, 
14, 5, 1.000000e-01, 9.350458e-02, 104889, 28, -1.000000e+09, 1.000000e+09, 
15, 5, 1.000000e-01, 5.188075e-02, 63556, 17, -1.000000e+09, 1.000000e+09, 
16, 5, 1.000000e-01, 7.368486e-02, 160000, 50, -1.000000e+09, 1.000000e+09, 
17, 5, 1.000000e-01, 9.950599e-02, 320001, 104, -1.000000e+09, 1.000000e+09, 
18, 5, 1.000000e-01, 9.796989e-02, 2483113, 788, -1.000000e+09, 1.000000e+09, 
19, 5, 1.000000e-01, 5.666123e-02, 256000, 34, -1.000000e+09, 1.000000e+09, 
20, 5, 1.000000e-01, 7.651717e-02, 239111, 70, -1.000000e+09, 1.000000e+09, 
21, 5, 1.000000e-01, 6.680028e-02, 81778, 23, -1.000000e+09, 1.000000e+09, 
22, 5, 1.000000e-01, 1.101303e-02, 36444, 8, -1.000000e+09, 1.000000e+09, 
23, 5, 1.000000e-01, 9.788234e-02, 2888447, 903, -1.000000e+09, 1.000000e+09, 
24, 5, 1.000000e-01, 9.561587e-02, 296445, 95, -1.000000e+09, 1.000000e+09, 
25, 5, 1.000000e-01, 7.594838e-02, 99111, 25, -1.000000e+09, 1.000000e+09, 
26, 5, 1.000000e-01, 8.766229e-02, 143112, 46, -1.000000e+09, 1.000000e+09, 
27, 5, 1.000000e-01, 9.212180e-02, 196001, 65, -1.000000e+09, 1.000000e+09, 
28, 5, 1.000000e-01, 5.806449e-02, 74223, 22, -1.000000e+09, 1.000000e+09, 
29, 5, 1.000000e-01, 3.421709e-02, 79556, 23, -1.000000e+09, 1.000000e+09, 
30, 5, 1.000000e-01, 5.298485e-03, 31111, 6, -1.000000e+09, 1.000000e+09, 
31, 5, 1.000000e-01, 2.009793e-02, 44000, 12, -1.000000e+09, 1.000000e+09, 
32, 5, 1.000000e-01, 5.807326e-02, 111112, 33, -1.000000e+09, 1.000000e+09, 
33, 5, 1.000000e-01, 9.457415e-02, 142222, 46, -1.000000e+09, 1.000000e+09, 
34, 5, 1.000000e-01, 8.005347e-02, 96000, 30, -1.000000e+09, 1.000000e+09, 
35, 5, 1.000000e-01, 3.876482e-02, 47556, 13, -1.000000e+09, 1.000000e+09, 
36, 5, 1.000000e-01, 6.735314e-02, 184000, 53, -1.000000e+09, 1.000000e+09, 
37, 5, 1.000000e-01, 7.346824e-02, 192000, 56, -1.000000e+09, 1.000000e+09, 
38, 5, 1.000000e-01, 8.565270e-02, 79556, 20, -1.000000e+09, 1.000000e+09, 
39, 5, 1.000000e-01, 6.604538e-02, 161778, 17, -1.000000e+09, 1.000000e+09, 
40, 5, 1.000000e-01, 8.606040e-02, 218222, 70, -1.000000e+09, 1.000000e+09, 
41, 5, 1.000000e-01, 5.122157e-02, 71112, 20, -1.000000e+09, 1.000000e+09, 
42, 5, 1.000000e-01, 9.150762e-02, 172445, 54, -1.000000e+09, 1.000000e+09, 
43, 5, 1.000000e-01, 5.996548e-02, 119556, 36, -1.000000e+09, 1.000000e+09, 
44, 5, 1.000000e-01, 8.313832e-02, 335111, 108, -1.000000e+09, 1.000000e+09, 
45, 5, 1.000000e-01, 8.981621e-02, 820445, 177, -1.000000e+09, 1.000000e+09, 
